name,filiere,eicCode,plantId,reactorIndex,stage,thermalPower_MW,rawPower_MW,netPower_MW,buildStartDate,firstReactionDate,gridLinkDate,exploitationStartDate,moxAuthorizationDate,coolingTowerCount
AIGLE,Hydraulique lacs,,AIGLE,1 à 5,,,,360,,,,,,,
AIGLE 6,Hydraulique lacs,,AIGLE,6,,,,146,,,,,,
ARRIGHI 1,Fioul,,ARRIGHI,1,,,,125,,,,,,
ARRIGHI 2,Fioul,,ARRIGHI,2,,,,129,,,,,,
ASTON,Hydraulique fil de l'eau / éclusée,,ASTON,-,,,,104,,,,,,
Banc de Guérande,Éolien en mer,,SAINT NAZAIRE,-,,,,480,,,,,,
BATHIE 1,Hydraulique lacs,,BATHIE,1,,,,100,,,,,,
BATHIE 2,Hydraulique lacs,,BATHIE,2,,,,100,,,,,,
BATHIE 3,Hydraulique lacs,,BATHIE,3,,,,100,,,,,,
BATHIE 4,Hydraulique lacs,,BATHIE,4,,,,100,,,,,,
BATHIE 5,Hydraulique lacs,,BATHIE,5,,,,100,,,,,,
BATHIE 6,Hydraulique lacs,,BATHIE,6,,,,100,,,,,,
BELLEVILLE 1,Nucléaire,,BELLEVILLE,1,,,,1310,,,,,,
BELLEVILLE 2,Nucléaire,,BELLEVILLE,2,,,,1310,,,,,,
BLAYAIS 1,Nucléaire,,BLAYAIS,1,,,,910,,,,,,
BLAYAIS 2,Nucléaire,,BLAYAIS,2,,,,910,,,,,,
BLAYAIS 3,Nucléaire,,BLAYAIS,3,,,,910,,,,,,
BLAYAIS 4,Nucléaire,,BLAYAIS,4,,,,910,,,,,,
BLENOD 5,Gaz,,BLENOD,5,,,,427,,,,,,
BORT 1,Hydraulique lacs,,BORT,1,,,,118,,,,,,
BORT 2,Hydraulique lacs,,BORT,2,,,,114,,,,,,
BOUCHAIN 7,Gaz,,BOUCHAIN,7,,,,585,,,,,,
BRENNILIS 1,Fioul,,BRENNILIS,1,,,,85,,,,,,
BRENNILIS 2,Fioul,,BRENNILIS,2,,,,85,,,,,,
BRENNILIS 3,Fioul,,BRENNILIS,3,,,,134,,,,,,
BROMMAT,Hydraulique lacs,,BROMMAT,1 à 6,,,,406,,,,,,
BROMMAT 7,Hydraulique lacs,,BROMMAT,7,,,,240,,,,,,
BUGEY 2,Nucléaire,,BUGEY,2,,,,910,,,,,,
BUGEY 3,Nucléaire,,BUGEY,3,,,,910,,,,,,
